time,open,high,low,close,volume,amount
2019-09-23 11:00:00,987.22448928,989.442504,987.22448928,989.41651164,26430,30135136.0
2019-09-23 11:05:00,989.36452692,989.36452692,987.71834412,988.142886,23267,26539840.0
2019-09-23 11:10:00,988.0736596812,989.1825804,987.70968,989.1825804,27030,30823904.0
2019-09-23 11:15:00,989.21723688,991.9984194,989.21723688,990.96738912,21617,24710752.0
2019-09-23 11:20:00,990.96738912,991.175328,989.3125422,991.06269444,11345,12964304.0
2019-09-23 11:25:00,991.14933564,991.175328,987.72700824,988.2989268012,58630,66981568.0
2019-09-23 11:30:00,988.2989268012,990.308916,987.17250456,990.092313,44680,50942400.0
2019-09-23 13:05:00,990.76811436,992.03307588,990.76811436,991.19265624,28115,32163840.0
2019-09-23 13:10:00,991.608534,991.6951752,990.0489924,991.0021322412,26700,30549056.0
2019-09-23 13:15:00,991.0021322412,991.16666388,989.51181696,990.308916,19800,22641792.0
2019-09-23 13:20:00,989.51181696,990.72479376,987.70968,989.442504,33803,38571920.0
2019-09-23 13:25:00,989.5291452,989.5291452,987.89162652,988.576092,17961,20495760.0
2019-09-23 13:30:00,988.28151192,989.2693082412,987.98693184,988.2989268012,22700,25901200.0
2019-09-23 13:35:00,988.576092,988.68872556,988.28151192,988.5327714,39600,45181728.0
2019-09-23 13:40:00,988.576092,989.009298,987.276474,987.58838232,67050,76453616.0
2019-09-23 13:45:00,987.58838232,988.54143552,987.3198812412,987.77032884,30645,34934832.0
2019-09-23 13:50:00,987.70968,987.80498532,987.58838232,987.60571056,33897,38642784.0
2019-09-23 13:55:00,987.6230388,987.70968,987.34578696,987.3631152,37943,43242016.0
2019-09-23 14:00:00,987.3631152,988.54143552,987.3631152,987.63170292,24210,27597200.0
2019-09-23 14:05:00,987.61437468,988.54143552,987.3285453612,987.3631152,36250,41320464.0
2019-09-23 14:10:00,987.3631152,988.8361022412,987.34578696,987.5451483612,27031,30810944.0
2019-09-23 14:15:00,987.68368764,988.9659774,987.46708464,988.55876376,30978,35320480.0
2019-09-23 14:20:00,988.55876376,989.442504,988.2295272,989.442504,33150,37838944.0
2019-09-23 14:25:00,990.1357202412,990.8981628012,989.442504,989.659107,34998,39996304.0
2019-09-23 14:30:00,989.659107,991.16666388,989.659107,991.16666388,45441,51946816.0
2019-09-23 14:35:00,991.16666388,991.6951752,990.31758012,991.5218928,47128,53913712.0
2019-09-23 14:40:00,991.5218928,993.774564,991.45257984,993.67925868,52250,59866896.0
2019-09-23 14:45:00,993.67925868,993.774564,991.51322868,993.31536564,50700,58092384.0
2019-09-23 14:50:00,993.32402976,994.11246468,993.32402976,993.85254108,46529,53372368.0
2019-09-23 14:55:00,993.85254108,997.53479208,991.0021322412,997.05826548,109661,125826240.0
2019-09-23 15:00:00,997.23154788,997.240212,993.6446022,995.507388,64800,74442992.0
2019-09-24 09:35:00,1000.70586,1004.06753856,998.106624,1003.9983122412,222356,256974189.0
2019-09-24 09:40:00,1003.738302,1008.0097998012,1002.8285694,1007.7671178,243203,282019043.0
2019-09-24 09:45:00,1007.7671178,1010.22772788,1007.637156,1009.1100564,204721,238477888.0
2019-09-24 09:50:00,1008.8675476812,1012.81829976,1007.2560213612,1012.41975024,232014,270619664.0
2019-09-24 09:55:00,1012.402422,1018.0341,1012.402422,1017.7308558,214526,251076672.0
2019-09-24 10:00:00,1017.7569348012,1018.88318376,1015.434864,1015.434864,208187,244325856.0
2019-09-24 10:05:00,1015.434864,1018.0341,1013.268834,1017.67020696,136465,159988944.0
2019-09-24 10:10:00,1018.1207412,1020.62467188,1017.18501624,1020.62467188,116210,136613552.0
2019-09-24 10:15:00,1020.62467188,1022.1929642412,1018.900512,1018.900512,111525,131358240.0
2019-09-24 10:20:00,1018.5107132412,1019.73226752,1017.600894,1019.1691863612,47401,55728544.0
2019-09-24 10:25:00,1019.1605222412,1020.39074064,1018.87451964,1020.39074064,70133,82502688.0
2019-09-24 10:30:00,1020.18280176,1024.53219,1020.18280176,1024.2550248012,143413,169277056.0
2019-09-24 10:35:00,1024.2550248012,1024.86142656,1019.766924,1021.56906096,76611,90466320.0
2019-09-24 10:40:00,1021.50841212,1023.89970924,1021.50841212,1023.89970924,51153,60405936.0
2019-09-24 10:45:00,1023.89970924,1025.13001428,1023.89970924,1024.8787548,77663,91851248.0
2019-09-24 10:50:00,1024.6188312,1024.6188312,1023.89970924,1024.41089232,33786,39932672.0
2019-09-24 10:55:00,1024.12497636,1025.5546428012,1024.12497636,1024.43688468,72576,85854528.0
2019-09-24 11:00:00,1024.43688468,1024.43688468,1022.68673244,1024.1856252,42166,49822272.0
2019-09-24 11:05:00,1024.1856252,1024.28959464,1024.10764812,1024.1423912412,36031,42591216.0
2019-09-24 11:10:00,1024.1423912412,1025.4420092412,1024.13364048,1024.8008643612,46254,54697408.0
2019-09-24 11:15:00,1024.7922002412,1025.77982328,1024.7922002412,1025.7625816812,37447,44321568.0
2019-09-24 11:20:00,1025.72783856,1025.79715152,1025.0520372,1025.64119736,61420,72700240.0
2019-09-24 11:25:00,1025.6586122412,1026.265014,1024.965396,1026.265014,49822,58984112.0
2019-09-24 11:30:00,1026.0050904,1026.27367812,1024.1856252,1024.19428932,35511,42027104.0
2019-09-24 13:05:00,1024.19428932,1025.19932724,1019.78425224,1021.13585496,69912,82463712.0
2019-09-24 13:10:00,1021.48241976,1022.56543476,1019.9402064,1020.20879412,29988,35353872.0
2019-09-24 13:15:00,1020.00951936,1022.33150352,1019.22974856,1021.499748,39167,46149536.0
2019-09-24 13:20:00,1021.499748,1022.56543476,1020.9973156812,1022.35749588,22972,27096160.0
2019-09-24 13:25:00,1022.35749588,1022.35749588,1021.14451908,1021.8029922,21032,24804944.0
2019-09-24 13:30:00,1021.8029922,1022.1929642412,1019.8189953612,1021.499748,38891,45824896.0
2019-09-24 13:35:00,1021.499748,1021.932954,1020.64200012,1020.8933462412,20651,24341792.0
2019-09-24 13:40:00,1020.8933462412,1021.49108388,1020.2435372412,1020.3475066812,18849,22207408.0
2019-09-24 13:45:00,1020.3475066812,1020.3734124,1018.9871532,1019.19509208,34458,40546112.0
2019-09-24 13:50:00,1019.19509208,1022.36616,1019.14310736,1022.36616,30703,36187744.0
